C/R,Product,Application,DTS #,Description,Status (6.07),Pri,Ass'd DTSs,Releases,PP Pack,Programs,Date Checked,6.07 Chg #,Due Date,To Be Shipped (6.07),Shipping Test,Shipping Live,LSS,CCD,MU2,Resp App,Comments
,CS,ADM,7348,"INFCE: Maestro, name checks failing due to case-sensitivity",Completed,3,,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C",3,ADM.PAT.xi.file.hl7.maestro,8/11/2014,ADM 815,4/8/2012,,Y,Y,,,,,
,CS,ADM,7349,Infce: Events not placed on retry queue/Retry queue not processed sufficiently,Completed,3,Y,"6.0C, 6.06C, 6.07C",2,ADM.PAT.xo.driver,8/11/2014,ADM 765,4/16/2012,,Y,Y,,,,,
,CS,ADM,7387,MPM Integration: Confidential flag shared in wrong field,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xo.format.hl7.lss,8/11/2014,ADM 487,5/1/2012,,Y,Y,Y,,,,
C,CS,ADM,7399,INFCE: Undo Discharge (A13) overwriting Room/Bed Index and undoing Transfers,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,"ADM.PAT.in.undo.dis, ADM.PAT.xi.file.hl7.comp, ADM.PAT.xi.file.hl7.insync, ADM.PAT.xi.file.hl7.maestro",8/11/2014,ADM 492,5/18/2012,,Y,Y,,,,,Partially ADM responsible.
,CS,ADM,7413,INFCE: Format the MRG Segment per HL7,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xo.format.hl7.comp,8/11/2014,ADM 497,5/20/2012,,Y,Y,,,,,
R,CS,ADM,7426,INFCE: Health Care Number doesn't file from PID|3,Completed,3,,"6.0C, 6.06C, 6.07C, 6.1C, 6.13C, 6.14C",4,"ADM.PAT.xi.file.hl7.comp.him.visit, ADM.PAT.xi.file.hl7.comp.ini.load",8/11/2014,ADM 939,5/21/2012,,Y,Y,,,,,Req'd for Canadian sites.
R,CS,ADM,7440,MPM Integ:MPM.MIS message generator should use MRI name for switch/Move acct,Completed,2,Y,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xo.format.hl7.lss,8/11/2014,ADM 509,4/26/2012,,Y,Y,Y,,,,
C,CS,ADM,7444,INFCE: Discharge Date sent for IN Patients,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xo.format.hl7.comp,8/11/2014,ADM 511,6/4/2012,,Y,Y,,,,,
R,CS,ADM,7453,INFCE: Migration Interfaces not filing IN1|14 - Insurance Auth # to right ddef,Completed,3,,"6.0C, 6.07C",5,"ADM.PAT.xi.file.hl7.comp.him.visit, ADM.PAT.xi.file.hl7.comp.ini.load",8/11/2014,ADM 1061,6/19/2014,,Y,Y,,,,,
C,CS,ADM,7470,MPM Integration: Guar/Nok/Ptn Names from MT are being sent in wrong format,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xo.format.hl7.lss,8/11/2014,ADM 519,6/17/2012,,Y,Y,Y,,,,
,CS,ADM,7472,INFCE: Allow more than 3 characters for ADT Status Suppression,Completed,3,,"6.0C, 6.06C, 6.07C",3,ADM.PAT.xo.format.hl7.comp,8/11/2014,ADM 880,6/19/2012,,Y,Y,,,,,
,CS,ADM,7483,Filer mnemonic local not being correctly set up for inbound ADT,Completed,3,,"6.0C, 6.06C, 6.07C",0,"ADM.PAT.xi.file.hl7.comp, ADM.PAT.xi.file.hl7.comp.him.visit, ADM.PAT.xi.file.hl7.comp.ini.load",8/11/2014,ADM 522,6/25/2012,,Y,Y,,,,,
,CS,ADM,7610,ADMI: The ADMI interface will over-write existing data if the fields are blank,Completed,3,,"6.0C, 6.07C",3,ADM.PAT.xi.file.hl7.comp,8/11/2014,ADM 882,9/15/2012,,Y,Y,,,,,
,CS,ADM,7664,EVN.2 May Contain Invalid Data For Certain Event Types,Draft,3,,"6.0D, 6.07D",,"ADM.PAT.xo.format.hl7.comp, ADM.PAT.xo.format.hl722",8/11/2014,,,,,,,,,,
,CS,ADM,7681,INFCE - Blank GT1 segments populate outbound ADT messages after ADM 6921,Completed,3,,"6.0C, 6.06C, 6.07C",3,ADM.PAT.xo.format.hl7.comp,8/11/2014,ADM 883,10/26/2012,,Y,Y,,,,,
C,CS,ADM,7700,INFCE: HL7 interface memory leak,Completed,3,,"6.0C, 6.06C, 6.07C, 6.1C, 6.13C, 6.14C",3,"ADM.PAT.xo.format.hl7.insync, ADM.PAT.xo.format.hl7.maestro",8/11/2014,ADM 884,10/29/2012,,Y,Y,,,,,
,CS,ADM,7725,INFCE: inbound ADT does not error for invalid acct and unit num lengths,Completed,3,,"6.0C, 6.07C",3,ADM.PAT.xi.file.hl7.comp,8/11/2014,ADM 885,11/23/2012,,Y,Y,,,,,
C,CS,ADM,7728,6.0 MPM: Bounce-back DRC transactions cause synch issues between MT and LSS,Completed,3,,"6.0C, 6.06C, 6.07C",1,ADM.PAT.xo.format.hl7.lss,8/11/2014,ADM 623,11/16/2012,,Y,Y,Y,,,,
,CS,ADM,7755,"INFCE: Migration: PTN, NOK, GT1 names need to be sent in 1 comp to HIM",Completed,3,Y,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C",4,ADM.PAT.xi.file.hl7.comp.him.visit,8/11/2014,ADM 940,12/10/2012,,Y,Y,,,,,
,CS,ADM,7877,INFCE: ADT IN messages display time difference as timezone offset is cleared,Completed,3,,"6.0C, 6.07C",3,ADM.PAT.xi.file.hl7.comp,8/11/2014,ADM 886,1/28/2013,,Y,Y,,,,,
C,CS,ADM,7904,INFCE - Incorrect Account Number populates PID|18 for NMIDRCMR A08 messages,Completed,3,,"6.0C, 6.07C",3,ADM.PAT.xo.format.hl7.comp,8/11/2014,ADM 887,2/16/2013,,Y,Y,,,,,
,CS,ADM,7917,INFCE: ADT Inbound not looking at field PV1|3 for location for revisits,Completed,3,,"6.0C, 6.07C",3,ADM.PAT.xi.file.hl7.comp,8/11/2014,ADM 888,2/19/2013,,Y,Y,,,,,
,CS,ADM,7985,INFCE: Fields in MPI getting overwritten by Homecare messages,,3,,"6.05S, 6.06S",,,8/11/2014,,,,,,,,,,
,CS,ADM,7990,INFCE: inbound ADT should not generate errors if name differs only by case,Completed,3,,"6.0C, 6.07C",3,ADM.PAT.xi.file.hl7.comp,8/11/2014,ADM 889,4/16/2013,,Y,Y,,,,,
,CS,ADM,8017,INFCE - CCD Consumer PDQ Response messages fail due to invalid zip code,Completed,3,Y,"6.0C, 6.07C",3,ADM.PAT.xi.file.hl7.v3.ehr,8/11/2014,ADM 891,5/13/2013,,Y,Y,,Y,,,
,CS,ADM,8019,INFCE: Fix ROL Segment Always Sending AD in ROL|2.1.1,Submitted,3,,"6.05S, 6.06S, 6.07S",,"ADM.PAT.ee.file, ADM.PAT.nmi.index",8/11/2014,,,,,,,,,,
,CS,ADM,8052,INFCE - SSN is not sent in ITI-8 messages for HL7 version 2.4,Completed,3,,"6.0C, 6.07C",4,ADM.PAT.xo.format.hl7.iti.8,8/11/2014,ADM 976,1/17/2014,,Y,Y,,Y,,,
,CS,ADM,8117,Maiden name flag is not sent to HIM for MIGRATE_HV interface,Completed,3,Y,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C",4,ADM.PAT.xi.file.hl7.comp.him.visit,8/11/2014,ADM 941,7/27/2013,,Y,Y,,,,,
,CS,ADM,8157,INFCE: 6.x will file an incorrect unit/acct number if MAGIC does not send one,Completed,3,,"6.0C, 6.07C",4,"ADM.PAT.xi.file.hl7.comp.him.visit, ADM.PAT.xi.file.hl7.comp.ini.load",8/11/2014,ADM 942,8/11/2013,,Y,Y,,,,,
,CS,ADM,8183,INFCE: Some Sign Up Dr's do not generate messages,Completed,3,Y,"6.0C, 6.07C",4,"ADM.PARAM.load.event.table, ADM.PAT.xo.format.hl7.comp, ADM.PAT.xo.format.hl7.insync, ADM.PAT.xo.format.hl7.maestro, ADM.STATUS.init.routines",8/11/2014,ADM 953,8/19/2013,,Y,Y,,,,,
R,CS,ADM,8196,INFCE: ADM Event Queue Auto Resetting,Completed,3,,"6.0C, 6.07C",3,ADM.PAT.xo.driver,8/11/2014,ADM 829,8/30/2013,,Y,Y,,,,,
C,CS,ADM,8228,RESUB - DTS ADM 7271 causes MRN to not be found from PID|3 in version 2.3,Completed,3,,"6.0C, 6.06C, 6.07C, 6.1C, 6.13C, 6.14C",3,"ADM.PAT.xi.file.hl7.comp, ADM.PAT.xi.file.hl7.lss",8/11/2014,ADM 821,9/15/2013,,Y,Y,Y,,,,
R,CS,ADM,8233,INFCE:Outbox:outbound ADT gens will crash if no ABS database on facility,Completed,3,,"6.0C, 6.07C",3,ADM.PAT.xo.format.hl7.comp,8/11/2014,ADM 890,9/29/2013,,Y,Y,,,,,
,CS,ADM,8248,INFCE: ADT Inbound Demo Recall Messages File to ADM but not HIM,Completed,3,,"6.0C, 6.07C",4,ADM.PAT.xi.file.hl7.comp,8/11/2014,ADM 969,2/20/2014,,Y,Y,,,,,
,CS,ADM,8249,INFCE: Time sent with Birthdate causes blank field in ADM and Incorrect Age,Completed,3,,"6.0C, 6.07C",4,ADM.PAT.xi.file.hl7.comp,8/11/2014,ADM 970,9/30/2013,,Y,Y,,,,,
,CS,ADM,8302,Inbound ADT Interface Accepts Message Segments That Aren't Properly Configured,Rejected,3,,"6.0R, 6.07R",,,8/11/2014,,11/16/2013,,,,,,,,
,CS,ADM,8310,INFCE - ITI-8 root OID does not match ITI-41 root OID,Completed,3,,"6.0C, 6.07C",4,ADM.PAT.xo.format.hl7.iti.8,8/11/2014,ADM 977,2/20/2014,,Y,Y,,Y,,,
,CS,ADM,8331,Wrong patient name sent on switch/Move acct A44 trigger event,Completed,3,,"6.0C, 6.07C",4,ADM.PAT.xo.format.hl7.comp,8/11/2014,ADM 916,12/8/2013,,Y,Y,,,,,
,CS,ADM,8338,A03 can be sent incorrectly for roll over account,Completed,3,,"6.0C, 6.07C",4,ADM.PAT.xo.format.hl7.comp,8/11/2014,ADM 957,2/20/2014,,Y,Y,,,,,
,CS,ADM,8374,INFCE: Inbound ADT FAIL-READs for name mismatch even after ADM 7990,Completed,3,Y,"6.0C, 6.07C",4,ADM.PAT.xi.file.hl7.comp,8/11/2014,ADM 971,1/3/2014,,Y,Y,,,,,
,CS,ADM,8432,RESUB ADM 6326 Read in religion from PID|17 for ADT inbound interface,Completed,3,,6.07C,4,ADM.PAT.xi.file.hl7.comp,8/11/2014,ADM 972,1/16/2014,,Y,Y,,,,,
,CS,ADM,8490,6.0 MIGRATE_IC Interface Not READ-WARNing When Providers Invalid,Rejected,3,,"6.0R, 6.07R",,,8/11/2014,,,,,,,,,,
,CS,ADM,8498,INFCE - PRE patients do not trigger full CCD exchange,Rejected,3,,"6.07R, 6.13R",,,8/11/2014,,,,,,,Y,,,
,CS,ADM,8517,INFCE: DG1 segment - dual coding,Completed,3,,"6.0C, 6.07C",5,ADM.PAT.xo.format.hl7.comp,8/11/2014,ADM 1000,5/15/2014,,Y,Y,,,,,
,CS,ADM,8538,INFCE: Inbound ADT filer doesn't look to ZCD segment correctly,,3,,6.05S,,,8/11/2014,,,,,,,,,,
,CS,ADM,8539,INFCE: ITI-8 not producing an ITI-9 event for A01's and A04's as it should,Completed,3,,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C, 6.15C",4,ADM.PAT.xi.file.hl7.iti.8,8/11/2014,ADM 987,5/15/2014,,Y,Y,,Y,,,
,CS,ADM,8602,INFCE: Patient Identify Feed (PIF) not able to handle multiple databases,Submitted,3,,"6.07S, 6.1S, 6.15S",,,8/11/2014,,9/18/2014,,,,,Y,,,
R,CS,ADM,8619,INFCE - Memory leak in outbound ADT interfaces,Completed,3,,"6.0C, 6.07C",5,ADM.PAT.xo.format.hl7.comp,8/11/2014,ADM 1016,4/17/2014,,Y,Y,,,,,
,CS,ADM,8624,INFCE - SSN is not sent in PID|19 in ITI-8 messages for HL7 v2.4 and above,Completed,3,,"6.0C, 6.07C",5,ADM.PAT.xo.format.hl7.iti.8,8/11/2014,ADM 1017,5/15/2014,,Y,Y,,Y,,,
,CS,ADM,8632,SYND: Adding Hook point Arrival.Pv2.38,Completed,3,,"6.0C, 6.07C",5,ADM.TOOL.BOX.init.x.msg.type,8/11/2014,ADM 1042,6/19/2014,,Y,Y,,,Y,,
,CS,ADM,8643,Additional fields for Syndromic Surveillance Interface,Completed,3,,"6.0C, 6.07C",5,ADM.TOOL.BOX.init.x.msg.type,8/11/2014,ADM 1025,6/19/2014,,Y,Y,,,Y,,
,CS,ADM,8714,Always populate EVN|1 with Event Code,Submitted,3,,6.07S,,,8/11/2014,,,,,,,,,,
,CS,ADM,8720,INFCE: ADT Outbound sending blank name components in PID|5 and PID|9,Submitted,3,,6.07S,,,8/11/2014,,,,,,,,,,
,CS,ADM,8782,INFCE: Patient's Other Locations & Email Address Removed -ADT Inbound,Submitted,3,,6.07S,,,8/11/2014,,,,,,,,,,
,CS,ADM,8783,CDA: Rework of Opt Out Query and Patient Confidential flag,Draft,3,Y,"6.0D, 6.07D",,,8/11/2014,,9/18/2014,,,,,Y,,,
,CS,LAB,8570,DDP 11346: LIS: Magic 5.6 to C/S 6.0 Dictionary Migration (High Priority DPMs),6.1-Completed,4,Y,"6.0C, 6.04C, 6.05C, 6.06C, 6.1C, 6.11C, 6.13C",,,8/11/2014,,,,,,,,,,
C,CS,LAB,9025,LAB: LABRES interface sending incorrect abnormal flag,Completed,2,,"6.0C, 6.05C, 6.06C, 6.07C, 6.1C, 6.13C, 6.14C",0,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.nomen",8/11/2014,LAB 847,9/2/2012,,Y,Y,,,Y,,
,CS,LAB,9241,INFCE: NTE and OBX comments not always filing to LAB completely,Completed,3,Y,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C",2,"LAB.L.SPEC.xi.file.res.hl7.comp, LAB.L.SPEC.xi.file.res.hl7.nomen, LAB.M.SPEC.xi.file.res.hl7.comp, LAB.M.SPEC.xi.file.res.hl7.nomen",8/11/2014,LAB 1107,8/14/2010,,Y,Y,,,,,
,CS,LAB,9316,LABRES: Result Copies To sent incorrectly for BBK/PTH,Completed,4,,"6.0C, 6.05C, 6.06C, 6.07C, 6.1C, 6.12C, 6.13C, 6.14C",0,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.mpm",8/11/2014,LAB 104,2/2/2011,,Y,Y,Y,,,,
,CS,LAB,9359,INFCE: Invalid facility filtering creates blank order messages,Completed,3,,"6.0C, 6.07C, 6.1C, 6.13C, 6.14P, 6.15C",5,LAB.C.REQ.xo.format.ord.hl7.comp,8/11/2014,LAB 1655,,,Y,Y,,,,,
,CS,LAB,9511,BBK Results: Abnormal result flag being sent in wrong field,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C, 6.1C, 6.12C, 6.13C, 6.14C",0,LAB.C.SPEC.xo.format.hl7.discres.mpm,8/11/2014,LAB 162,5/6/2011,,Y,Y,Y,,,,
,CS,LAB,9512,BBK Results: Antigen result is needed for BBK Results,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C, 6.1C, 6.12C, 6.13C, 6.14C",0,LAB.C.SPEC.xo.format.hl7.discres.mpm,8/11/2014,LAB 163,5/1/2011,,Y,Y,Y,,,,
,CS,LAB,9569,INFCE: LABSORR MIC Results Inbound NTE comments not filing into LAB.,Completed,3,Y,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C",2,"LAB.M.SPEC.xi.file.res.hl7.comp, LAB.M.SPEC.xi.file.res.hl7.nomen",8/11/2014,LAB 1108,1/15/2011,,Y,Y,,,,,
,CS,LAB,9597,Consulting Doctor Name Does Not Match Mnemonic in PV1|9,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C, 6.1C, 6.12C, 6.13C",0,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.mpm",8/11/2014,LAB 198,1/23/2011,,Y,Y,Y,,,,
,CS,LAB,9630,"INFCE: OBR|13, OBR|14, OBR|15 populating incorrectly for PTH",Completed,4,,"6.0C, 6.05C, 6.06C, 6.07C, 6.1C, 6.12C, 6.13C, 6.14C",0,LAB.C.SPEC.xo.format.hl7.discres.comp,8/11/2014,LAB 213,6/6/2011,,Y,Y,,,,,
R,CS,LAB,9640,INFCE: Fix Formatter Crashing When Processing Result Lines for MIC Organisms,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C, 6.1C, 6.12C, 6.13C, 6.14C",0,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.mpm, LAB.C.SPEC.xo.format.res.hl7.comp",8/11/2014,LAB 220,2/12/2011,,Y,Y,Y,,,,
,CS,LAB,9684,INFCE: LAB/MIC TEXT OBX incorrectly sent multiple times,Completed,4,Y,"6.0C, 6.05C, 6.06C, 6.07C, 6.1C, 6.13C, 6.14C",0,LAB.C.SPEC.xo.format.hl7.discres.comp,8/11/2014,LAB 242,7/4/2011,,Y,Y,,,,,
,CS,LAB,9751,MIC Antibiotic Sensitivities May Not File in COMP Code,Submitted,3,,"6.0S, 6.07S",,LAB.M.SPEC.xi.file.res.hl7.comp,8/11/2014,,,,,,,,,,
,CS,LAB,9825,INFCE: LAB results to MEDITECH interface not picking up susceptibilites,Completed,3,,"6.0C, 6.06C, 6.07C, 6.1C, 6.12C, 6.13C, 6.14C",0,LAB.M.SPEC.xi.file.res.hl7.comp,8/11/2014,LAB 315,5/2/2011,,Y,Y,,,,,
,CS,LAB,9843,"BBK: BBK Result populating in OBX|5.1.2, should be in OBX|5.1.1",Completed,3,,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C",4,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.nomen",8/11/2014,LAB 1458,5/10/2011,,Y,Y,,,Y,,
,CS,LAB,9884,INFCE - Quantity is not read in from OBR|27.1.1 for OM interfaces,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C, 6.1C, 6.12C, 6.13C, 6.14C",0,LAB.C.REQ.xo.format.hl7.focus,8/11/2014,LAB 342,5/23/2011,,Y,Y,,,,,
,CS,LAB,9967,INFCE: Wrong facility can be sent with Providers in PV1 and ORC for LMBP,Completed,3,Y,"6.0C, 6.05C, 6.06C, 6.07C, 6.1C, 6.13C, 6.14C",0,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.mpm",8/11/2014,LAB 389,7/5/2011,,Y,Y,Y,,,,
