C/R,Product,Application,DTS #,Description,Status (6.07),Pri,Ass'd DTSs,Releases,PP ,Programs,Date Checked,6.07 Chg #,Due Date,To Be Shipped (6.07),Shipping Test,Shipping Live,LSS,CCD,MU2,Resp App,Dev OK'd,Comments
,CS,LAB,9751,MIC Antibiotic Sensitivities May Not File in COMP Code,Submitted,3,,"6.0S, 6.07S, 6.08S",,,6/19/2015,,,,,,,,,,,
,CS,LAB,9843,"BBK: BBK Result populating in OBX|5.1.2, should be in OBX|5.1.1",Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.nomen",6/19/2015,LAB 1458,5/10/2011,,Y,Y,,,Y,,,
,CS,LAB,10097,INFCE: POC Results In - Invalid Doctor Mnemonic Error,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,LAB.C.REQ.xi.file.ord.hl7.comp,6/19/2015,LAB 1435,8/15/2011,,Y,Y,,,,,,
,CS,LAB,10169,INFCE: NTE Counter not reseting after OBR/OBX segment,Submitted,3,,"6.0S, 6.07S, 6.08S, 6.1S, 6.13S, 6.14S, 6.15S",,,6/19/2015,,,,,,,,,,,
,CS,LAB,10467,INFCE: LAB Outbound name formats incorrectly in PID Segment,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,LAB.C.SPEC.xo.format.res.hl7.comp,6/19/2015,LAB 1460,2/7/2012,,Y,Y,,,,,,
,CS,LAB,10550,INFCE: MIC NP-ed Multiple Results Sending OBR Segments,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.nomen, LAB.C.SPEC.xo.format.res.hl7.comp",6/19/2015,LAB 1461,3/10/2012,,Y,Y,,,Y,,,
R,CS,LAB,10902,INFCE: Discrete Results missing sensis for all procs and site info in OBX,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.nomen",6/19/2015,LAB 1464,7/2/2012,,Y,Y,,,Y,,,
,CS,LAB,10937,NETLAB:Addon Orders with Lord Lab Link Rule Fail-Read,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",5,LAB.C.REQ.xi.ord.filer.add,6/19/2015,LAB 1627,5/15/2014,,Y,Y,,,,,,
,CS,LAB,10966,INFCE: All orders are not being sent in batch for LAB Orders Out,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",,LAB.C.REQ.xo.driver.ord,6/19/2015,LAB 1777,7/29/2012,,Y,Y,,,,,,
,CS,LAB,10990,INFCE: OV Lab Inbound Order OM Messages Fail-Read for Unrecognized Priority,Submitted,3,,"6.0S, 6.05S, 6.06S, 6.07S, 6.08S, 6.1S, 6.13S, 6.14S, 6.15S",,,6/19/2015,,,,,,,,,,,
C,CS,LAB,11013,INFCE: Memory leak in POC Results inbound interface,6.1-Completed,3,,"6.0C, 6.06C, 6.08C, 6.1C, 6.13C, 6.14C",,LAB.C.SPEC.xi.file.res.hl7.comp,6/19/2015,,8/4/2012,,,,,,,,,
,CS,LAB,11200,INFCE - Inbound LAB orders error logging can cause errors in DR,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",4,LAB.C.REQ.xi.ord.filer,6/19/2015,LAB 1518,10/26/2012,,Y,Y,,,,,,
,CS,LAB,11265,LAB/MIC: Weight Queries do not Convert Properly from Dict. to OBX Segment,Completed,3,Y,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",4,LAB.C.REQ.xo.format.ord.hl7.comp,6/19/2015,LAB 1525,12/1/2012,,Y,Y,,,,,,
,CS,LAB,11419,Custom Reg Types Not Working Correctly with HL7 Messages,6.1-Completed,3,Y,"6.1C, 6.13C, 6.14C",,"LAB.C.SPEC.xo.format.hl7.discres.mpm, LAB.C.SPEC.xo.format.hl7.discres.nomen",6/19/2015,,1/14/2013,,,,Y,,Y,,,
,CS,LAB,11537,INFCE - Multiple tests filed in one message can have their priorities changed,Submitted,3,,"6.0S, 6.05S, 6.06S, 6.07S, 6.08S, 6.1S, 6.14S, 6.15S",,,6/19/2015,,,,,,,,,,,
,CS,LAB,11599,"INFCE: when creating a new patient, name should be uppercase",Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,LAB.C.REQ.xi.file.ord.hl7.comp,6/19/2015,LAB 1436,5/4/2013,,Y,Y,,,,,,
,CS,LAB,11643,"INFCE: if PID|3 of inbound OM orders is too short, pad with 0s",Submitted,3,,"6.05S, 6.06S, 6.07S",,,6/19/2015,,,,,,,,,,,
,CS,LAB,11647,DDP 17117: Formatter changes needed for 6.1 NIST Stage 2 Certification,6.1-Completed,3,Y,"6.1C, 6.13C, 6.14C",,"LAB.C.SPEC.xo.format.hl7.discres.nomen, LAB.TOOL.BOX.init.x.msg.type",6/19/2015,,6/9/2013,,,,,,Y,,,
R,CS,LAB,11663,INFCE: Inbound OM interface crashes if message has nil OBX|5,6.1-Completed,3,,"6.1C, 6.13C, 6.14C, 6.15C",,LAB.C.REQ.xo.format.hl7.focus,6/19/2015,,5/28/2013,,,,,,,,,
,CS,LAB,11716,INFCE: Prompt Result Abnormal Flags not sent in OBX|8 for MIC,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,LAB.C.SPEC.xo.format.res.hl7.comp,6/19/2015,LAB 1466,6/25/2013,,Y,Y,,,,,,
R,CS,LAB,11730,INFCE: Patient sex should not be required on POC.,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,"LAB.C.REQ.xi.file.ord.hl7.comp, LAB.C.REQ.xi.file.ord.hl723",6/19/2015,LAB 1437,8/26/2013,,Y,Y,,,,,,
,CS,LAB,11741,LIS: OV ITS orders send the Specimen field on the Order,,3,,6.06S,,,6/19/2015,,,,,,,,,,,
,CS,LAB,11831,INFCE: Spec Number not added to subject line if message FAIL-READs,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",5,"LAB.C.SPEC.xi.file.res.hl7.comp, LAB.C.SPEC.xi.file.res.hl7.nomen, LAB.L.SPEC.xi.file.res.hl7.comp, LAB.L.SPEC.xi.file.res.hl7.nomen, LAB.M.SPEC.xi.file.res.hl7.comp, LAB.M.SPEC.xi.file.res.hl7.nomen",6/19/2015,LAB 1576,8/24/2013,,Y,Y,,,,,,
,CS,LAB,11833,INFCE: Send LAB Site in OBX|15 for BBK Products,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.mpm, LAB.C.SPEC.xo.format.hl7.discres.nomen",6/19/2015,LAB 1467,8/24/2013,,Y,Y,,,Y,,,
,CS,LAB,11836,DDP 17919: Certification Updates for LAB/MIC Inbound Results Filer,Completed,4,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",4,"LAB.C.SPEC.xi.file.res.hl7.nomen, LAB.C.SPEC.xi.results, LAB.L.SPEC.xi.file.res.hl7.nomen, LAB.M.SPEC.xi.file.res.hl7.nomen",6/19/2015,LAB 1571,,,Y,Y,,,Y,,,
,CS,LAB,11860,"INFCE: Corrected LAB Group Tests Not Sending ""C"" in OBR|25",Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.nomen",6/19/2015,LAB 1468,10/7/2013,,Y,Y,,,Y,,,
,CS,LAB,11863,OV ID information is not populating OBR|2 on results outbound for deleted ords,6.1-Completed,3,Y,"6.1C, 6.13C, 6.14C",,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.nomen",6/19/2015,,8/30/2013,,,,,,Y,,,
,CS,LAB,11898,NMI: Update LAB Message Type Hookpoints to Reference New Value Sets,Completed,3,Y,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,LAB.TOOL.BOX.init.x.msg.type,6/19/2015,LAB 1439,9/15/2013,,Y,Y,,,,,,
,CS,LAB,11930,"INFCE:  NOK Employee Status Posting to NK1|32, Should Post to NK1|34",Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.mpm",6/19/2015,LAB 1469,10/4/2013,,Y,Y,,,,,,
,CS,LAB,11932,"INFCE: ""CHG"" orders will not generate an OBR segment(s)",Completed,3,Y,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",4,LAB.C.REQ.xo.format.ord.hl7.comp,6/19/2015,LAB 1527,10/4/2013,,Y,Y,,,,,,
,CS,LAB,11963,INFCE - Public Health LMBP Diagnostic Serv Sect ID issues,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.nomen",6/19/2015,LAB 1470,10/15/2013,,Y,Y,,,Y,,,
,CS,LAB,11964,INFCE - Public Health LMBP not sending all MIC prompt results,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",5,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.nomen",6/19/2015,LAB 1583,4/17/2014,,Y,Y,,,Y,,,
,CS,LAB,11972,INFCE - Public Health LMBP is not sending LAB Test Result Group,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,LAB.C.SPEC.xo.format.hl7.discres.nomen,6/19/2015,LAB 1504,1/16/2014,,Y,Y,,,Y,,,
,CS,LAB,11980,INFCE - Public Health LMBP not sending special result text,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,LAB.C.SPEC.xo.format.hl7.discres.nomen,6/19/2015,LAB 1471,10/27/2013,,Y,Y,,,Y,,,
,CS,LAB,11981,INFCE - Public Health LMBP sending incorrect specimen priority,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,LAB.C.SPEC.xo.format.hl7.discres.nomen,6/19/2015,LAB 1472,10/27/2013,,Y,Y,,,Y,,,
C,CS,LAB,11996,INFCE: DTS LAB 11692 Introduces Code That Blocks Sending All Pathology Results,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,LAB.C.SPEC.xo.driver.res,6/19/2015,LAB 1390,10/27/2013,,Y,Y,,,,,,
,CS,LAB,12033,INFCE: Allow messages to file with redundant orders,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",5,LAB.C.REQ.xi.ord.filer,6/19/2015,LAB 1603,3/20/2014,,Y,Y,,,,,,
,CS,LAB,12055,LABRES OUT sending result in 5.1.1.2 instead of 5.1.1.1,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,LAB.C.SPEC.xo.format.hl7.discres.comp,6/19/2015,LAB 1473,12/1/2013,,Y,Y,,,,,,
,CS,LAB,12128,INFCE: RO: NTE comments filing to all OBRs,Submitted,3,,6.07S,,,6/19/2015,,,,,,,,,,,
,CS,LAB,12135,INFCE - SPM|14 can be Sent as a Blank Space when MIC Spec Description Blank,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.nomen",6/19/2015,LAB 1505,1/20/2014,,Y,Y,,,Y,,,
,CS,LAB,12176,INFCE: Extra char added to MSH|2 for v2.5.1 of LAB Results Interface,Completed,3,Y,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,LAB.C.SPEC.xo.format.hl7.discres.nomen,6/19/2015,LAB 1506,2/20/2014,,Y,Y,,,Y,,,
,CS,LAB,12184,LABRES - Allow NPI provider number to be sent,Completed,3,Y,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",5,LAB.C.SPEC.xo.format.hl7.discres.nomen,6/19/2015,LAB 1584,3/20/2014,,Y,Y,,,Y,,,
,CS,LAB,12230,NMI: OBX-11 incorrect following Preliminary Verified correction,Completed,3,Y,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C",4,LAB.C.SPEC.xo.format.hl7.discres.nomen,6/19/2015,LAB 1508,2/20/2014,,Y,Y,,,Y,,,
,CS,LAB,12232,"LAB:Send Specimen Comments in OBR|13, OBR|31 and OBR|39 as a Single Repetition",Completed,3,Y,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",,LAB.C.SPEC.xo.format.hl7.discres.comp,6/19/2015,LAB 1678,8/21/2014,,Y,Y,,,,,,
,CS,LAB,12238,NMI: Incorrect Specimen Status and Observ Status on Sensitivity procedure,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",5,LAB.C.SPEC.xo.format.hl7.discres.nomen,6/19/2015,LAB 1586,5/15/2014,,Y,Y,,,Y,,,
,CS,LAB,12239,"INFCE: OBR|21 should only contain Lab Site Name, PID|3 should include Acct Num",Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",5,LAB.C.SPEC.xo.format.hl7.discres.nomen,6/19/2015,LAB 1587,4/17/2014,,Y,Y,,,Y,,,
,CS,LAB,12266,INFCE: Orders following filtered orders remain in FAIL-CREATE status in batch,Submitted,3,,6.07S,,,6/19/2015,,,,,,,,,,,
,CS,LAB,12271,LAB: Populate OBR|3 with Specimen Barcode for MEDINET.SO interface,Submitted,3,,6.07S,,,6/19/2015,,,,,,,,,,,
,CS,LAB,12318,MIC: Sending results for procedures not defined for interface result recipient,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",4,LAB.M.SPEC.xo.res.recipient.check,6/19/2015,LAB 1545,3/20/2014,,Y,Y,,,,,,
,CS,LAB,12319,"MU - look to  parameter to determine ""PH"" or ""ACP"" interface type",Completed,3,Y,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",5,LAB.C.SPEC.xo.format.hl7.discres.nomen,6/19/2015,LAB 1588,5/15/2014,,Y,Y,,,Y,,,
,CS,LAB,12325,INFCE: Set up DG1 Segment in Hook Program for OV orders to OM,Submitted,3,,"6.0S, 6.07S, 6.08S, 6.1S, 6.13S, 6.14S, 6.15S",,,6/19/2015,,,,,,,,,,,
,CS,LAB,12331,INFCE MU - Send organism name in OBX|5.1.5,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",5,LAB.C.SPEC.xo.format.hl7.discres.nomen,6/19/2015,LAB 1589,5/15/2014,,Y,Y,,,Y,,,
,CS,LAB,12335,NMI: Incorrect Specimen Status and Observ Status on Sensitivity procedure,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",5,LAB.C.SPEC.xo.format.hl7.discres.comp,6/19/2015,LAB 1590,4/17/2014,,Y,Y,,,,,,
,CS,LAB,12336,MIC: Organism prompt recipients not respected for public health interfaces,Completed,3,Y,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",4,LAB.C.SPEC.xo.format.hl7.discres.nomen,6/19/2015,LAB 1546,3/20/2014,,Y,Y,,,Y,,,
,CS,LAB,12348,ARRA INFCE: MSH Namespace ID Type changes,Completed,3,Y,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",5,"LAB.C.SPEC.xo.format.hl7.discres.nomen, LAB.TOOL.BOX.init.x.msg.type",6/19/2015,LAB 1591,4/17/2014,,Y,Y,,,Y,,,
,CS,LAB,12360,LAB: Additional fields for LAB Results Reporting Interface,Submitted,3,,6.07S,,,6/19/2015,,,,,,,,,,,
,CS,LAB,12409,"INFCE: Corrected LAB Group Tests Not Sending ""C"" in OBR|25 (Public Health)",Completed,3,Y,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",,LAB.C.SPEC.xo.format.hl7.discres.nomen,6/19/2015,LAB 1679,8/21/2014,,Y,Y,,,Y,,,
,CS,LAB,12411,INFCE: Multiple buffering causes performance issues,Completed,3,Y,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",5,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.nomen, LAB.C.SPEC.xo.format.res.hl7.comp",6/19/2015,LAB 1593,4/17/2014,,Y,Y,,,Y,,,
,CS,LAB,12413,LIS/NMI: Record buffering for results-out interfaces causes high server load,Completed,3,,"6.0C, 6.07C, 6.08C, 6.1C, 6.13C, 6.14C, 6.15C",5,"LAB.B.SPEC.xo.res.recipient.check, LAB.L.SPEC.xo.res.recipient.check, LAB.M.SPEC.xo.res.recipient.check",6/19/2015,LAB 1578,5/29/2014,,Y,Y,,,Y,LAB,,
,CS,LAB,12450,INFCE: Unable To Confirm Facility for Inbound Results Interface (POC),Submitted,3,,"6.0S, 6.07S, 6.08S, 6.1S, 6.13S",,,6/19/2015,,,,,,,,,,,
